"name","groupName","imageUrl"
"Jihun","BXB (group)","https://i.scdn.co/image/ab6761610000e5ebe5342ec54e60118cbc465ae9"
"Kim Jong-min","Koyote","https://i.scdn.co/image/fe3eb8333fe54a2a04c9c64b01fe086238462417"
"Shin Ji","Koyote","https://i.scdn.co/image/ab6761610000e5eb551fe6fe3f6a90466a11f561"
"Bbaek Ga","Koyote","https://i.scdn.co/image/ab6761610000e5ebcbcf1e9230d496afcb03972c"
"ko","Koyote","https://i.scdn.co/image/fe3eb8333fe54a2a04c9c64b01fe086238462417"
"Gyeongree","Nasty Nasty (band)","https://i.scdn.co/image/ab6761610000e5eb4913e57f90e500fc8f2a3327"
"Lee Ji-hye","Sharp (South Korean band)","https://i.scdn.co/image/ab6761610000e5eb6822227d77b9e63e9ef5b516"
"Seo Ji-young","Sharp (South Korean band)","https://i.scdn.co/image/ab67616d0000b273006a347ff2700caa3e757c0a"
"debuted members","SM Rookies","https://i.scdn.co/image/ab67616d0000b2736c1334650ced0e28f0b2e13f"
"former members","SM Rookies","https://i.scdn.co/image/ab67616d0000b2736c1334650ced0e28f0b2e13f"
"Max Changmin","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb65f946e1c1bdc8bc9b75b049"
"Yesung","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb4450f4105c6e7f27cc8dd2c2"
"Kyuhyun","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb8c44c72883cb546abffdf7d2"
"Zhou Mi","SM the Ballad","https://i.scdn.co/image/ab6761610000e5ebff055a71cedaeb3edd45ee00"
"Taeyeon","SM the Ballad","https://i.scdn.co/image/ab6761610000e5ebb5d9ebbbbe3fff5a330b40c8"
"Chen","SM the Ballad","https://i.scdn.co/image/ab67616d0000b27309ab8fa70c43903c2e8e8633"
"Jay Kim","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb9aeb37f19398d3028ef58563"
"Jino","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb9851b556d75348cd507872a9"
"Zhang Liyin","SM the Ballad","https://i.scdn.co/image/ab67616d0000b273598921374da726fc73b7122a"
"Jonghyun","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb1390f488f6f7b23b1bf69584"
"Krystal","SM the Ballad","https://i.scdn.co/image/ab6761610000e5eb67673c09c04ee5abd9afb897"
"U-Know","SM The Performance","https://i.scdn.co/image/ab6761610000e5ebf1246c2eefe29a0ad51def61"
"Eunhyuk","SM The Performance","https://i.scdn.co/image/ab6761610000e5ebd4312f4d70abaccd369fc61a"
"Donghae","SM The Performance","https://i.scdn.co/image/ab6761610000e5eb2be82149be3774fa0729a543"
"Taemin","SM The Performance","https://i.scdn.co/image/ab6761610000e5eb496189630cd3cb0c7b593fee"
"Minho","SM The Performance","https://i.scdn.co/image/ab6761610000e5eb0681582daf8e797cd07b170a"
"Kai","SM The Performance","https://i.scdn.co/image/ab67616d0000b273924986a890383b10472bc782"
"Lay","SM The Performance","https://i.scdn.co/image/ab6761610000e5ebf1246c2eefe29a0ad51def61"
"Kangta","SM Town","https://i.scdn.co/image/ab6761610000e5ebcbcf1e9230d496afcb03972c"
"BoA","SM Town","https://i.scdn.co/image/ab6761610000e5eb635b6e87f58fbc0ea1483d98"
"TVXQ","SM Town","https://i.scdn.co/image/ab6761610000e5eb2be82149be3774fa0729a543"
"Super Junior","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"Girls' Generation","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"Shinee","SM Town","https://i.scdn.co/image/ab6761610000e5ebf6e777bb4a99ac7ddd55c762"
"Exo","SM Town","https://i.scdn.co/image/ab6761610000e5ebe59d83d3af622cfe9100fa2a"
"Red Velvet","SM Town","https://i.scdn.co/image/ab6761610000e5eb49b792517635443b9cd987a1"
"NCT","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"Aespa","SM Town","https://i.scdn.co/image/ab6761610000e5eb18d4cb767d2dfe5f4b28ba07"
"DearALICE","SM Town","https://i.scdn.co/image/ab6761610000e5eb49b792517635443b9cd987a1"
"Riize","SM Town","https://i.scdn.co/image/ab6761610000e5eb0595b13b716263466e382d9b"
"Lucas","SM Town","https://i.scdn.co/image/ab6761610000e5ebf6e0e02fb6cfbbdc8664352f"
"Naevis","SM Town","https://i.scdn.co/image/ab6761610000e5ebe59d83d3af622cfe9100fa2a"
"Hearts2Hearts","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"XngHan & Xoul","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"H.O.T.","SM Town","https://i.scdn.co/image/ab6761610000e5eb48e775ef31291768ca6bf820"
"S.E.S.","SM Town","https://i.scdn.co/image/ab6761610000e5eb48e775ef31291768ca6bf820"
"Shinhwa","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"Fly to the Sky","SM Town","https://i.scdn.co/image/ab6761610000e5eb49b792517635443b9cd987a1"
"Black Beat","SM Town","https://i.scdn.co/image/ab6761610000e5eb6668ec9adef9431cec5e048b"
"TRAX","SM Town","https://i.scdn.co/image/ab67616d0000b2736f0437f826b37ca893d5d34b"
"The Grace","SM Town","https://i.scdn.co/image/ab6761610000e5ebccb5af6d6dab01632cf29aca"
"f(x)","SM Town","https://i.scdn.co/image/ab6761610000e5eb0fb214f3b75dc060f98384de"
"Yoo Jae-suk","SSAK3","https://i.scdn.co/image/ab6761610000e5ebf3da70e438e086847d650fd4"
"Lee Hyori","SSAK3","https://i.scdn.co/image/ab6761610000e5eb8fdf3504948498378df71140"
"Rain","SSAK3","https://i.scdn.co/image/ab6761610000e5eb082034be2da89fd96d7bfcbe"
